name,text,manaCost,type,rarity,games_in_hand,win_rate,set_code
Deathcap Glade,"This land enters tapped unless you control two or more other lands.
{T}: Add {B} or {G}.",,Land,rare,19252,0.557,SOS
Dreamroot Cascade,"This land enters tapped unless you control two or more other lands.
{T}: Add {G} or {U}.",,Land,rare,23443,0.566,SOS
Fields of Strife,"This land enters tapped.
{T}: Add {R} or {W}.
{2}{R}{W}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,Land,common,170360,0.569,SOS
Forum of Amity,"This land enters tapped.
{T}: Add {W} or {B}.
{2}{W}{B}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,Land,common,127266,0.559,SOS
Great Hall of the Biblioplex,"{T}: Add {C}.
{T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast an instant or sorcery spell.
{5}: If this land isn't a creature, it becomes a 2/4 Wizard creature with ""Whenever you cast an instant or sorcery spell, this creature gets +1/+0 until end of turn."" It's still a land.",,Land,rare,31228,0.588,SOS
Paradox Gardens,"This land enters tapped.
{T}: Add {G} or {U}.
{2}{G}{U}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,Land,common,150918,0.562,SOS
Shattered Sanctum,"This land enters tapped unless you control two or more other lands.
{T}: Add {W} or {B}.",,Land,rare,20344,0.572,SOS
Skycoach Waypoint,"{T}: Add {C}.
{3}, {T}: Target creature becomes prepared. (Only creatures with prepare spells can become prepared.)",,Land,uncommon,5858,0.497,SOS
Spectacle Summit,"This land enters tapped.
{T}: Add {U} or {R}.
{2}{U}{R}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,Land,common,177681,0.564,SOS
Stormcarved Coast,"This land enters tapped unless you control two or more other lands.
{T}: Add {U} or {R}.",,Land,rare,27827,0.569,SOS
Sundown Pass,"This land enters tapped unless you control two or more other lands.
{T}: Add {R} or {W}.",,Land,rare,26223,0.571,SOS
Terramorphic Expanse,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,Land,common,169836,0.563,SOS
Titan's Grave,"This land enters tapped.
{T}: Add {B} or {G}.
{2}{B}{G}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,Land,common,126771,0.553,SOS
"Abigale, Poet Laureate // Heroic Stanza","Flying
Whenever you cast a creature spell, Abigale becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Put a +1/+1 counter on target creature.",{1}{W}{B},Legendary Creature — Bird Bard,uncommon,35517,0.546,SOS
Adventurous Eater // Have a Bite,"This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Put a +1/+1 counter on target creature. You gain 1 life.",{2}{B},Creature — Human Warlock,common,69083,0.54,SOS
Blazing Firesinger // Seething Song,"This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Add {R}{R}{R}{R}{R}.",{2}{R},Creature — Dwarf Bard,uncommon,17613,0.498,SOS
Campus Composer // Aqueous Aria,"Ward {2}
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Create a 3/3 blue and red Elemental creature token with flying.",{3}{U},Creature — Merfolk Bard,uncommon,36038,0.54,SOS
Cheerful Osteomancer // Raise Dead,"This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Return target creature card from your graveyard to your hand.",{3}{B},Creature — Orc Warlock,common,44338,0.514,SOS
Elite Interceptor // Rejoinder,"This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
You may tap or untap target creature.
Draw a card.",{W},Creature — Human Wizard,common,172182,0.592,SOS
Emeritus of Abundance // Regrowth,"Vigilance
This creature enters prepared.
Whenever this creature attacks, if you control eight or more lands, this creature becomes prepared.
Return target card from your graveyard to your hand.",{2}{G},Creature — Elf Druid,mythic,12212,0.593,SOS
Emeritus of Conflict // Lightning Bolt,"First strike
Whenever you cast your third spell each turn, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Lightning Bolt deals 3 damage to any target.",{1}{R},Creature — Human Wizard,mythic,11763,0.546,SOS
Emeritus of Ideation // Ancestral Recall,"Flying, ward {2}
This creature enters prepared.
Whenever this creature attacks, you may exile eight cards from your graveyard. If you do, this creature becomes prepared.
Target player draws three cards.",{3}{U}{U},Creature — Human Wizard,mythic,15071,0.645,SOS
Emeritus of Truce // Swords to Plowshares,"When this creature enters, target player creates a 1/1 white and black Inkling creature token with flying. Then if an opponent controls more creatures than you, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Exile target creature. Its controller gains life equal to its power.",{1}{W}{W},Creature — Cat Cleric,mythic,12551,0.585,SOS
Emeritus of Woe // Demonic Tutor,"This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
At the beginning of your end step, if two or more creatures died this turn, this creature becomes prepared.
Search your library for a card, put that card into your hand, then shuffle.",{3}{B},Creature — Vampire Warlock,mythic,12640,0.59,SOS
Encouraging Aviator // Jump,"Flying
Whenever this creature attacks, it becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Target creature gains flying until end of turn.",{2}{U},Creature — Bird Wizard,uncommon,20021,0.504,SOS
Goblin Glasswright // Craft with Pride,"This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",{1}{R},Creature — Goblin Sorcerer,common,103961,0.539,SOS
Grave Researcher // Reanimate,"At the beginning of your upkeep, surveil 1. Then if there are three or more creature cards in your graveyard, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to that card's mana value.",{2}{B},Creature — Troll Warlock,rare,19479,0.555,SOS
Harmonized Trio // Brainstorm,"{T}, Tap two untapped creatures you control: This creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Draw three cards, then put two cards from your hand on top of your library in any order.",{U},Creature — Merfolk Bard Wizard,rare,13817,0.533,SOS
Honorbound Page // Forum's Favor,"First strike
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Target creature gets +1/+0 and gains flying until end of turn.",{3}{W},Creature — Cat Cleric,common,47495,0.531,SOS
Infirmary Healer // Stream of Life,"This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Target player gains X life.",{1}{G},Creature — Cat Cleric,uncommon,34280,0.536,SOS
"Jadzi, Steward of Fate // Oracle's Gift","Jadzi enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
When Jadzi enters, draw two cards, then discard two cards.
Create X 0/0 green and blue Fractal creature tokens, then put X +1/+1 counters on each Fractal you control.",{2}{U},Legendary Creature — Human Wizard,rare,31432,0.595,SOS
Joined Researchers // Secret Rendezvous,"First strike
At the beginning of each end step, if an opponent has more cards in hand than you, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
You and target opponent each draw three cards.",{1}{W},Creature — Human Cleric Wizard,rare,19420,0.549,SOS
"Kirol, History Buff // Pack a Punch","Whenever one or more cards leave your graveyard, Kirol becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Mill a card. Put two +1/+1 counters on target creature. It gains trample until end of turn.",{R}{W},Legendary Creature — Vampire Cleric,uncommon,48997,0.557,SOS
Landscape Painter // Vibrant Idea,"This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Draw two cards.",{1}{U},Creature — Merfolk Wizard,common,71832,0.536,SOS
Leech Collector // Bloodletting,"Whenever you gain life for the first time each turn, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Each opponent loses 2 life.",{1}{B},Creature — Human Warlock,uncommon,25415,0.518,SOS
"Lluwen, Exchange Student // Pest Friend","Lluwen enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Exile a creature card from your graveyard: Lluwen becomes prepared. Activate only as a sorcery.
Create a 1/1 black and green Pest creature token with ""Whenever this token attacks, you gain 1 life.""",{2}{B}{G},Legendary Creature — Elf Druid,uncommon,31990,0.559,SOS
Maelstrom Artisan // Rocket Volley,"Haste
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Destroy target nonbasic land.",{1}{R}{R},Creature — Minotaur Sorcerer,rare,7487,0.512,SOS
Pigment Wrangler // Striking Palette,"Flying
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.",{4}{R},Creature — Orc Sorcerer,uncommon,33724,0.51,SOS
Quill-Blade Laureate // Twofold Intent,"Double strike
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Target creature gets +1/+0 and gains double strike until end of turn.",{1}{W},Creature — Human Cleric,uncommon,54320,0.569,SOS
"Sanar, Unfinished Genius // Wild Idea","Sanar enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
{T}: Create a Treasure token. Activate only if you've cast an instant or sorcery spell this turn.
Search your library for an instant or sorcery card, reveal it, put it into your hand, then shuffle.",{U}{R},Legendary Creature — Goblin Sorcerer,uncommon,64162,0.588,SOS
Scathing Shadelock // Venomous Words,"At the beginning of your first main phase, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Target creature you control gets +2/+0 and gains deathtouch until end of turn.",{4}{B},Creature — Snake Warlock,uncommon,20904,0.524,SOS
Scheming Silvertongue // Sign in Blood,"Flying, lifelink
At the beginning of your second main phase, if you gained 2 or more life this turn, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Target player draws two cards and loses 2 life.",{1}{B},Creature — Vampire Warlock,rare,23256,0.59,SOS
Skycoach Conductor // All Aboard,"Flash
Flying, vigilance
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Exile target non-Pilot creature you control, then return that card to the battlefield under its owner's control.",{2}{U},Creature — Bird Pilot,rare,24127,0.57,SOS
Spellbook Seeker // Careful Study,"Flying
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Draw two cards, then discard two cards.",{3}{U},Creature — Bird Wizard,common,29950,0.506,SOS
Spiritcall Enthusiast // Scrollboost,"Whenever one or more tokens you control enter, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
One or two target creatures each get +2/+2 until end of turn.",{2}{W},Creature — Cat Cleric,uncommon,20421,0.519,SOS
Strife Scholar // Awaken the Ages,"Ward—Pay 2 life.
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Create two 2/2 red and white Spirit creature tokens.",{2}{R},Creature — Orc Sorcerer,common,29688,0.509,SOS
Studious First-Year // Rampant Growth,"This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",{G},Creature — Bear Wizard,common,113054,0.569,SOS
"Tam, Observant Sequencer // Deep Sight","Landfall — Whenever a land you control enters, Tam becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
You draw a card and gain 1 life.",{2}{G}{U},Legendary Creature — Gorgon Wizard,uncommon,32232,0.524,SOS
Vastlands Scavenger // Bind to Life,"Deathtouch
This creature enters prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)
Mill seven cards. Then put a creature card from among them onto the battlefield.",{1}{G}{G},Creature — Bear Druid,rare,20073,0.571,SOS
Anticausal Vestige,"When this creature leaves the battlefield, draw a card, then you may put a permanent card with mana value less than or equal to the number of lands you control from your hand onto the battlefield tapped.
Warp {4} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{6},Creature — Eldrazi,rare,27910,0.594,EOE
"Tezzeret, Cruel Captain","Whenever an artifact you control enters, put a loyalty counter on Tezzeret.
[0]: Untap target artifact or creature. If it's an artifact creature, put a +1/+1 counter on it.
[−3]: Search your library for an artifact card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
[−7]: You get an emblem with ""At the beginning of combat on your turn, put three +1/+1 counters on target artifact you control. If it's not a creature, it becomes a 0/0 Robot artifact creature.""",{3},Legendary Planeswalker — Tezzeret,mythic,8541,0.52,EOE
All-Fates Stalker,"When this creature enters, exile up to one target non-Assassin creature until this creature leaves the battlefield.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{3}{W},Creature — Drix Assassin,uncommon,65429,0.598,EOE
Astelli Reclaimer,"Flying
When this creature enters, return target noncreature, nonland permanent card with mana value X or less from your graveyard to the battlefield, where X is the amount of mana spent to cast this creature.
Warp {2}{W}",{3}{W}{W},Creature — Angel Warrior,rare,18742,0.564,EOE
Auxiliary Boosters,"When this Equipment enters, create a 2/2 colorless Robot artifact creature token and attach this Equipment to it.
Equipped creature gets +1/+2 and has flying.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",{4}{W},Artifact — Equipment,common,72572,0.549,EOE
Banishing Light,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",{2}{W},Enchantment,common,139394,0.583,EOE
Beyond the Quiet,Exile all creatures and Spacecraft.,{3}{W}{W},Sorcery,rare,19748,0.594,EOE
Brightspear Zealot,"Vigilance
This creature gets +2/+0 as long as you've cast two or more spells this turn.",{2}{W},Creature — Human Soldier,common,29474,0.534,EOE
Cosmogrand Zenith,"Whenever you cast your second spell each turn, choose one —
• Create two 1/1 white Human Soldier creature tokens.
• Put a +1/+1 counter on each creature you control.",{2}{W},Creature — Human Soldier,mythic,13026,0.636,EOE
Dawnstrike Vanguard,"Lifelink
At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on each creature you control other than this creature.",{5}{W},Creature — Human Knight,uncommon,24661,0.521,EOE
Dockworker Drone,"This creature enters with a +1/+1 counter on it.
When this creature dies, put its counters on target creature you control.",{1}{W},Artifact Creature — Robot,common,105640,0.543,EOE
Dual-Sun Adepts,"Double strike
{5}: Creatures you control get +1/+1 until end of turn.",{2}{W},Creature — Human Soldier,uncommon,48786,0.568,EOE
Dual-Sun Technique,"Target creature you control gains double strike until end of turn. If it has a +1/+1 counter on it, draw a card.",{1}{W},Instant,uncommon,13507,0.51,EOE
Emergency Eject,"Destroy target nonland permanent. Its controller creates a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",{2}{W},Instant,uncommon,25867,0.532,EOE
Exalted Sunborn,"Flying, lifelink
If one or more tokens would be created under your control, twice that many of those tokens are created instead.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{3}{W}{W},Creature — Angel Wizard,mythic,10039,0.576,EOE
Exosuit Savior,"Flying
When this creature enters, return up to one other target permanent you control to its owner's hand.",{2}{W},Creature — Human Soldier,common,56762,0.524,EOE
Flight-Deck Coordinator,"At the beginning of your end step, if you control two or more tapped creatures, you gain 2 life.",{2}{W},Creature — Human Soldier,common,35410,0.548,EOE
Focus Fire,"Focus Fire deals X damage to target attacking or blocking creature, where X is 2 plus the number of creatures and/or Spacecraft you control.",{W},Instant,common,126188,0.569,EOE
"Haliya, Guided by Light","Whenever Haliya or another creature or artifact you control enters, you gain 1 life.
At the beginning of your end step, draw a card if you've gained 3 or more life this turn.
Warp {W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{2}{W},Legendary Creature — Human Soldier,rare,21806,0.6,EOE
Hardlight Containment,"Enchant artifact you control
When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield.
Enchanted permanent has ward {1}.",{W},Enchantment — Aura,rare,7402,0.521,EOE
Honor,"Put a +1/+1 counter on target creature.
Draw a card.",{W},Sorcery,uncommon,41227,0.561,EOE
Honored Knight-Captain,"When this creature enters, create a 1/1 white Human Soldier creature token.
{4}{W}{W}, Sacrifice this creature: Search your library for an Equipment card, put it onto the battlefield, then shuffle.",{1}{W},Creature — Human Advisor Knight,uncommon,48232,0.565,EOE
Knight Luminary,"When this creature enters, create a 1/1 white Human Soldier creature token.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{3}{W},Creature — Human Knight,common,144120,0.575,EOE
Lightstall Inquisitor,"Vigilance
When this creature enters, each opponent exiles a card from their hand and may play that card for as long as it remains exiled. Each spell cast this way costs {1} more to cast. Each land played this way enters tapped.",{W},Creature — Angel Wizard,rare,17585,0.579,EOE
Lumen-Class Frigate,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 12+.)
2+ | Other creatures you control get +1/+1.
12+ | Flying, lifelink",{1}{W},Artifact — Spacecraft,rare,23862,0.602,EOE
Luxknight Breacher,This creature enters with a +1/+1 counter on it for each other creature and/or artifact you control.,{3}{W},Creature — Human Knight,common,24289,0.51,EOE
Pinnacle Starcage,"When this artifact enters, exile all artifacts and creatures with mana value 2 or less until this artifact leaves the battlefield.
{6}{W}{W}: Put each card exiled with this artifact into its owner's graveyard, then create a 2/2 colorless Robot artifact creature token for each card put into a graveyard this way. Sacrifice this artifact.",{1}{W}{W},Artifact,rare,2818,0.474,EOE
Pulsar Squadron Ace,"When this creature enters, look at the top five cards of your library. You may reveal a Spacecraft card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, put a +1/+1 counter on this creature.",{1}{W},Creature — Human Pilot,uncommon,46523,0.554,EOE
Radiant Strike,Destroy target artifact or tapped creature. You gain 3 life.,{3}{W},Instant,common,84884,0.559,EOE
Rayblade Trooper,"When this creature enters, put a +1/+1 counter on target creature you control.
Whenever a nontoken creature you control with a +1/+1 counter on it dies, create a 1/1 white Human Soldier creature token.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{2}{W},Creature — Human Soldier,uncommon,56490,0.586,EOE
Reroute Systems,"Choose one —
• Target artifact or creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Reroute Systems deals 2 damage to target tapped creature.",{W},Instant,uncommon,23487,0.527,EOE
Rescue Skiff,"When this Spacecraft enters, return target creature or enchantment card from your graveyard to the battlefield.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 10+.)
10+ | Flying",{5}{W},Artifact — Spacecraft,uncommon,23325,0.527,EOE
Scout for Survivors,Return up to three target creature cards with total mana value 3 or less from your graveyard to the battlefield. Put a +1/+1 counter on each of them.,{2}{W},Sorcery,uncommon,13700,0.516,EOE
Seam Rip,"When this enchantment enters, exile target nonland permanent an opponent controls with mana value 2 or less until this enchantment leaves the battlefield.",{W},Enchantment,uncommon,23099,0.542,EOE
The Seriema,"When The Seriema enters, search your library for a legendary creature card, reveal it, put it into your hand, then shuffle.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying
Other tapped legendary creatures you control have indestructible.",{1}{W}{W},Legendary Artifact — Spacecraft,rare,15315,0.601,EOE
Squire's Lightblade,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains first strike until end of turn.
Equipped creature gets +1/+0.
Equip {3}",{W},Artifact — Equipment,common,15181,0.536,EOE
Starfield Shepherd,"Flying
When this creature enters, search your library for a basic Plains card or a creature card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{3}{W}{W},Creature — Angel,uncommon,59931,0.587,EOE
Starfighter Pilot,"Whenever this creature becomes tapped, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",{1}{W},Creature — Human Pilot,common,83958,0.541,EOE
Starport Security,"{3}{W}, {T}: Tap another target creature. This ability costs {2} less to activate if you control a creature with a +1/+1 counter on it.",{W},Artifact Creature — Robot Soldier,common,46157,0.537,EOE
Sunstar Chaplain,"At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on target creature you control.
{2}, Remove a +1/+1 counter from a creature you control: Tap target artifact or creature.",{1}{W},Creature — Human Cleric,rare,24634,0.607,EOE
Sunstar Expansionist,"When this creature enters, if an opponent controls more lands than you, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
Landfall — Whenever a land you control enters, this creature gets +1/+0 until end of turn.",{1}{W},Creature — Human Knight,uncommon,56185,0.575,EOE
Sunstar Lightsmith,"Whenever you cast your second spell each turn, put a +1/+1 counter on this creature and draw a card.",{3}{W},Creature — Human Artificer,uncommon,55151,0.566,EOE
Wedgelight Rammer,"When this Spacecraft enters, create a 2/2 colorless Robot artifact creature token.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 9+.)
9+ | Flying, first strike",{3}{W},Artifact — Spacecraft,uncommon,28293,0.547,EOE
Weftblade Enhancer,"When this creature enters, put a +1/+1 counter on each of up to two target creatures.
Warp {2}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{5}{W},Creature — Drix Artificer,common,62796,0.535,EOE
Zealous Display,"Creatures you control get +2/+0 until end of turn. If it's not your turn, untap those creatures.",{2}{W},Instant,common,11698,0.519,EOE
Annul,Counter target artifact or enchantment spell.,{U},Instant,uncommon,13275,0.51,EOE
Atomic Microsizer,"Equipped creature gets +1/+0.
Whenever equipped creature attacks, choose up to one target creature. That creature can't be blocked this turn and has base power and toughness 1/1 until end of turn.
Equip {2}",{U},Artifact — Equipment,uncommon,4666,0.491,EOE
Cerebral Download,"Surveil X, where X is the number of artifacts you control. Then draw three cards. (To surveil X, look at the top X cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",{4}{U},Instant,uncommon,47306,0.551,EOE
Cloudsculpt Technician,"Flying
As long as you control an artifact, this creature gets +1/+0.",{2}{U},Creature — Jellyfish Artificer,common,30648,0.516,EOE
Codecracker Hound,"When this creature enters, look at the top two cards of your library. Put one into your hand and the other into your graveyard.
Warp {2}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{2}{U},Creature — Dog,uncommon,92043,0.598,EOE
Consult the Star Charts,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Look at the top X cards of your library, where X is the number of lands you control. Put one of those cards into your hand. If this spell was kicked, put two of those cards into your hand instead. Put the rest on the bottom of your library in a random order.",{1}{U},Instant,rare,25143,0.56,EOE
Cryogen Relic,"When this artifact enters or leaves the battlefield, draw a card.
{1}{U}, Sacrifice this artifact: Put a stun counter on up to one target tapped creature. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{1}{U},Artifact,common,203950,0.591,EOE
Cryoshatter,"Enchant creature
Enchanted creature gets -5/-0.
When enchanted creature becomes tapped or is dealt damage, destroy it.",{U},Enchantment — Aura,common,158307,0.561,EOE
Desculpting Blast,"Return target nonland permanent to its owner's hand. If it was attacking, create a 1/1 colorless Drone artifact creature token with flying and ""This token can block only creatures with flying.""",{1}{U},Instant,uncommon,68988,0.572,EOE
Divert Disaster,"Counter target spell unless its controller pays {2}. If they do, you create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",{1}{U},Instant,common,83713,0.567,EOE
Emissary Escort,"This creature gets +X/+0, where X is the greatest mana value among other artifacts you control.",{1}{U},Artifact Creature — Robot Soldier,rare,22831,0.566,EOE
Gigastorm Titan,This spell costs {3} less to cast if you've cast another spell this turn.,{4}{U},Creature — Elemental,uncommon,71367,0.567,EOE
Illvoi Galeblade,"Flash
Flying
{2}, Sacrifice this creature: Draw a card.",{U},Creature — Jellyfish Warrior,common,74966,0.547,EOE
Illvoi Infiltrator,"This creature can't be blocked if you've cast two or more spells this turn.
Whenever this creature deals combat damage to a player, draw a card.",{2}{U},Creature — Jellyfish Rogue,uncommon,54858,0.545,EOE
Illvoi Light Jammer,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Equipped creature gets +1/+2.
Equip {3}",{1}{U},Artifact — Equipment,common,42474,0.551,EOE
Illvoi Operative,"Whenever you cast your second spell each turn, put a +1/+1 counter on this creature.",{1}{U},Creature — Jellyfish Rogue,common,75762,0.539,EOE
Lost in Space,Target artifact or creature's owner puts it on their choice of the top or bottom of their library. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),{3}{U},Instant,common,101224,0.563,EOE
Mechan Assembler,"Whenever another artifact you control enters, create a 2/2 colorless Robot artifact creature token. This ability triggers only once each turn.",{4}{U},Artifact Creature — Robot Artificer,uncommon,48411,0.536,EOE
Mechan Navigator,"Whenever this creature becomes tapped, draw a card, then discard a card.",{1}{U},Artifact Creature — Robot Pilot,uncommon,57272,0.552,EOE
Mechan Shieldmate,"Defender
As long as an artifact entered the battlefield under your control this turn, this creature can attack as though it didn't have defender.",{1}{U},Artifact Creature — Robot Soldier,common,55918,0.527,EOE
Mechanozoa,"When this creature enters, tap target artifact or creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Warp {2}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{4}{U}{U},Artifact Creature — Robot Jellyfish,common,108050,0.551,EOE
Mental Modulation,"This spell costs {1} less to cast during your turn.
Tap target artifact or creature.
Draw a card.",{1}{U},Instant,common,43974,0.534,EOE
"Mm'menon, the Right Hand","Flying
You may look at the top card of your library any time.
You may cast artifact spells from the top of your library.
Artifacts you control have ""{T}: Add {U}. Spend this mana only to cast a spell from anywhere other than your hand.""",{3}{U}{U},Legendary Creature — Jellyfish Advisor,rare,14486,0.504,EOE
Moonlit Meditation,"Enchant artifact or creature you control
The first time you would create one or more tokens each turn, you may instead create that many tokens that are copies of enchanted permanent.",{2}{U},Enchantment — Aura,rare,1891,0.399,EOE
Mouth of the Storm,"Flying
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this creature enters, creatures your opponents control get -3/-0 until your next turn.",{6}{U},Creature — Elemental,uncommon,80719,0.581,EOE
Nanoform Sentinel,"Whenever this creature becomes tapped, untap another target permanent. This ability triggers only once each turn.",{2}{U},Artifact Creature — Robot,common,59763,0.542,EOE
Quantum Riddler,"Flying
When this creature enters, draw a card.
As long as you have one or fewer cards in hand, if you would draw one or more cards, you draw that many cards plus one instead.
Warp {1}{U}",{3}{U}{U},Creature — Sphinx,mythic,15178,0.659,EOE
Scour for Scrap,"Choose one or both —
• Search your library for an artifact card, reveal it, put it into your hand, then shuffle.
• Return target artifact card from your graveyard to your hand.",{3}{U},Instant,uncommon,25530,0.546,EOE
Selfcraft Mechan,"When this creature enters, you may sacrifice an artifact. When you do, put a +1/+1 counter on target creature and draw a card.",{3}{U},Artifact Creature — Robot Artificer,common,152737,0.564,EOE
Sinister Cryologist,"When this creature enters, target creature an opponent controls gets -3/-0 until end of turn.
Warp {U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",{2}{U},Creature — Jellyfish Wizard,common,6241,0.479,EOE
